,Word,Frequency
1092,closed,2
1093,dine-in,1
1094,"service,",1
1095,open.Featuring,1
1096,"@superdawgdrivein,",1
1097,"@geneandjudeschicago,and",1
1098,@portilloshotdogs.#hotdogs🌭#hotdog,1
1099,#Chicago,2
1100,#Chicagodogs,1
1101,#FoodInsider1drinnny_VerifiedLoved,1
1102,em!1d20,1
1103,(2)sc_nativeThat,1
1104,drum,1
1105,beat,1
1106,sounded,1
1107,kinda,1
1108,familiar1d49,1
1109,(2)daniel_huanggggfreeze,1
1110,hotdog,2
1111,use,4
1112,ice,1
1113,cubes,1
1114,customers,3
1115,dont,1
1116,like1d45,1
1117,(2)_magolor_Something,1
1118,learned,1
1119,pornhub,1
1120,intro,1
1121,full,1
1122,song.,1
1123,That’s,2
1124,honestly,1
1125,got,2
1126,off,1
1127,chair,1
1128,video1d42,1
1129,(1)mr.first.takeNot,1
1130,glizzy🤣1d24,1
1131,likesReplysuperdawgdriveinFrom,1
1132,bottom,1
1133,our,2
1134,pure,1
1135,beef,1
1136,"❤️,",1
1137,stopping!!,1
1138,🤩🌭1d15,1
1139,likesReplysebas.parraIf,1
1140,pay,1
1141,$6.40,1
1142,won’t,1
1143,ketchup,1
1144,beefin.,1
1145,Literally1d13,1
1146,likesReplykliban_catThese,1
1147,girls’,1
1148,high,1
1149,AF1d9,1
1150,(1)nyc_eazyOh,1
1151,nahhhh,1
1152,Glizzy,1
1153,😭😭1d10,1
1154,likesReplymark_julie_muchwayaI,1
1155,had,3
1156,gene,1
1157,judesis,1
1158,3,2
1159,typical,2
1160,dog.,2
1161,also,4
1162,specialty,1
1163,alot,1
1164,options,1
1165,portillos,1
1166,original,1
1167,amd,1
1168,somid,1
1169,coney,1
1170,style,3
1171,old,1
1172,fashioned,1
1173,mustard,1
1174,maxwell,1
1175,onions,1
1176,favorite.,1
1177,these,3
1178,places,1
1179,solid,1
1180,hit,1
1181,their,5
1182,✅,1
1183,👌1d5,1
1184,likesReplyblaizetinggWho,1
1185,boiled,1
1186,glizzy1d5,1
1187,likesReplylilith_nixxI,1
1188,sausages,1
1189,maybe,1
1190,beef1d3,1
1191,likesReply1,1
1192,"foodinsiderVerified•Follow204,884",1
1193,viewsfoodinsiderVerifiedHow,2
1194,French,1
1195,baguettes,3
1196,made,7
1197,Paris,2
1198,|,4
1199,Regional,1
1200,EatsIn,1
1201,"episode,",1
1202,baker,1
1203,Mahmoud,3
1204,M’seddi,1
1205,welcomes,1
1206,us,1
1207,bakery,2
1208,@maisonmseddi,1
1209,Paris’,1
1210,14th,1
1211,district,1
1212,where,1
1213,award-winning,1
1214,life.,1
1215,Making,1
1216,baguette,2
1217,complex,1
1218,time-consuming,1
1219,process,2
1220,requires,1
1221,"dedication,",1
1222,"skill,",1
1223,"expertise,",1
1224,"all,",1
1225,patience.,1
1226,"2018,",1
1227,awarded,1
1228,Grand,1
1229,Prix,1
1230,de,2
1231,la,1
1232,Baguette,1
1233,by,6
1234,city,2
1235,Paris.,1
1236,Editor's,2
1237,footage,1
1238,"12,",1
1239,2020.#Paris,1
1240,#baguette,1
1241,#bread,1
1242,#Frenchfood,1
1243,#FoodInsider4daliciavehThe,1
1244,way,7
1245,he,5
1246,talks,1
1247,passionate,3
1248,already,1
1249,worth,1
1250,them!4d85,1
1251,(2)ryan.aouinetThe,1
1252,bagutte,1
1253,maker,1
1254,paris,1
1255,tunisian,1
1256,😂4d47,1
1257,likesReplydanamaeandresSomeday,1
1258,Baguettes,1
1259,shop,1
1260,🙏🏻,1
1261,🥺☺️4d26,1
1262,(1)jemy_josephHe,1
1263,whole,2
1264,thing..,1
1265,that's,2
1266,guarantee,1
1267,amazing❣️4d16,1
1268,(3)madd.ie___Slap,1
1269,Brie,1
1270,fire,1
1271,😍4d20,1
1272,(2)tequila_mockingbyrddI,1
1273,sat,1
1274,here,2
1275,16,2
1276,minutes,1
1277,guy,3
1278,baking,1
1279,bread.,1
1280,Oddly,1
1281,"enough,",1
1282,very,3
1283,interesting.,1
1284,Now,2
1285,baguette.4d12,1
1286,(4)materialarchiveWhere,1
1287,opening,4
1288,Canada?,1
1289,line,4
1290,now...,1
1291,❤️,1
1292,🇨🇦,1
1293,🥖4d11,1
1294,(3)cznalisherWow,1
1295,minute,1
1296,-,18
1297,long,3
1298,bread4d8,1
1299,(1)fersandoval30J'ai,1
1300,vraiment,1
1301,aimé!!!,1
1302,On,1
1303,voit,1
1304,tout,1
1305,suite,1
1306,que,1
1307,c'est,2
1308,une,1
1309,passion,1
1310,pour,2
1311,M.,1
1312,d'être,1
1313,boulanger,1
1314,et,1
1315,quelque,1
1316,chose,1
1317,qui,1
1318,est,1
1319,très,1
1320,importante,1
1321,réussir.,1
1322,Bravo!4d7,1
1323,(1)tasmiadarrBread,1
1324,porn4d7,1
1325,"likesReplyraigo_aasmaaWow,",1
1326,vids,2
1327,:D.,1
1328,"Damn,",1
1329,"now,",1
1330,hungry.,1
1331,Never,2
1332,watch,1
1333,before,3
1334,sleep,1
1335,😅😂4d3,1
1336,(2)globalfoodeeFantastic,1
1337,😋4d3,1
1338,(1)4,2
1339,"foodinsiderVerified•Follow204,455",1
1340,viewsfoodinsiderVerifiedWhy,1
1341,Is,2
1342,Most,2
1343,Legendary,3
1344,Pizza,1
1345,Restaurant,1
1346,Brooklyn,1
1347,EMark,1
1348,Iacono’s,1
1349,"restaurant,",1
1350,"@lucali_bk,",1
1351,arguably,1
1352,Brooklyn.,1
1353,restaurant,4
1354,"reservations,",1
1355,lines,2
1356,form,1
1357,door,1
1358,time.,1
1359,INSIDER’s,1
1360,visits,1
1361,attempts,1
1362,Mark’s,1
1363,unique,1
1364,pizza.#pizza,1
1365,#Brooklyn,1
1366,#nyc,1
1367,#nycfoodies,1
1368,#FoodInsider5drinnny_VerifiedHe,1
1369,teacher!,1
1370,And,6
1371,result,1
1372,shocking,1
1373,😱5d120,1
1374,(4)alvarogueThis,1
1375,humble5d127,1
1376,(1)goodmanssoulfoodWas,1
1377,flirting,1
1378,her,1
1379,nah,1
1380,😂5d104,1
1381,(2)mi_luhlulHe,1
1382,definitely,4
1383,smashed,1
1384,night.5d68,1
1385,likesReplyscrescentiaThey,1
1386,chemistry,2
1387,tho...,1
1388,❤️5d61,1
1389,likesReplyfukkupmI’m,1
1390,crushing,1
1391,guy5d55,1
1392,(1)ryan.aouinetAll,1
1393,success,2
1394,humble,1
1395,😍😍5d39,1
1396,likesReplyvanusagar“I’ll,1
1397,whatever,1
1398,do”,1
1399,girl,1
1400,same5d36,1
1401,likesReplyxaimecastelltortIs,1
1402,"me,",1
1403,anybody,2
1404,else,1
1405,felt,1
1406,awkward,1
1407,watching,2
1408,both,2
1409,flirted,1
1410,🤣🤣🤣,2
1411,“you,1
1412,Korean?”,1
1413,😂😂5d33,1
1414,likesReplydejonea.xoYall,1
1415,lol5d23,1
1416,likesReplyyour_victim1I,1
1417,"guy,",1
1418,humble.5d19,1
1419,likesReplyfukkupmThat,1
1420,nice,1
1421,♥️5d11,1
1422,"foodinsiderVerified•Follow312,935",1
1423,viewsfoodinsiderVerified11,1
1424,gadgets,2
1425,cut,4
1426,food-prep,2
1427,halfWe,1
1428,looked,1
1429,11,1
1430,"half,",1
1431,including,1
1432,tools,3
1433,peel,1
1434,eggs,2
1435,"you,",1
1436,spiralize,1
1437,"vegetables,",1
1438,round,1
1439,produce,1
1440,once.,1
1441,prepping,1
1442,quicker,1
1443,less,1
1444,"tedious,",1
1445,especially,1
1446,you're,1
1447,making,1
1448,once.#gadgets,1
1449,#foodprep,1
1450,#tools,1
1451,#FoodInsider6dgraytathemGuys,1
1452,buy,1
1453,knife...6d129,1
1454,likesReplyrw14_20Or,1
1455,could,1
1456,normal6d89,1
1457,likesReplybaby_xoxochamaThey,1
1458,invented,1
1459,1,1
1460,tool,1
1461,replace,1
1462,these....its,1
1463,called,1
1464,knife.,2
1465,knife6d81,1
1466,(3)iblameprithDid,1
1467,cringe,1
1468,while,1
1469,banana,2
1470,slicer?,1
1471,😩6d51,1
1472,likesReplychincubusThese,1
1473,dumb,1
1474,useless.,1
1475,fast,1
1476,forwarded,1
1477,videos,2
1478,tell,1
1479,struggling,1
1480,devices.6d40,1
1481,(1)_hilario_jrThere,1
1482,corn,1
1483,Cobb6d28,1
1484,likesReplypaulabg_officialWho,1
1485,cuts,1
1486,blueberries?🤷🏼‍♀️🥴6d19,1
1487,(4)sea.sickarinaY’all,1
1488,cutting,1
1489,bananas?6d18,1
1490,(1)dgenandtGod,1
1491,Alton,1
1492,brown,1
1493,doesn’t,1
1494,this.6d18,1
1495,likesReplycevangelisGet,1
1496,chef’s,1
1497,Victorinox,1
1498,non,1
1499,professionals,1
1500,culinary,1
1501,students.,1
1502,Get,1
1503,steel,1
1504,sharpening,1
1505,stone,1
1506,bc,1
1507,sharp,1
1508,knives,1
1509,reduce,1
1510,work,3
1511,safer,1
1512,than,3
1513,dull,1
1514,knives...That’s,1
1515,only,3
1516,need...Use,1
1517,fingers,2
1518,pick,1
1519,herbs.,1
1520,For,2
1521,"kale,",1
1522,between,1
1523,two,2
1524,pull,1
1525,stem...That’s,1
1526,buying,1
1527,one-use,1
1528,you’ll,1
1529,putting,1
1530,garbage.6d11,1
1531,"likesReplyga.penting.jugaTbh,",1
1532,efficient,1
1533,person.,1
1534,enjoy,1
1535,chopping,1
1536,fruits,2
1537,veggies,2
1538,manually..6d11,1
1539,likesReplynycterpMicrowave,1
1540,&,3
1541,🤢6d10,1
1542,likesReply6,1
1543,"foodinsiderVerified•Follow36,592",1
1544,likesfoodinsiderVerifiedMove,1
1545,mini,1
1546,pancakes,1
1547,"muffins,",1
1548,croissants,1
1549,latest,1
1550,breakfast,1
1551,items,1
1552,converted,1
1553,tiny,1
1554,cereal,1
1555,version.,1
1556,Click,2
1557,learn,2
1558,recipe.⁣⁣⁣⁣#croissant,1
1559,#cereal,1
1560,#breakfast,1
1561,#dessert⁣⁣⁣⁣(Credit:,1
1562,ChefSteps)6dnoleftoversVerifiedI’m,1
1563,dead,1
1564,😵6d36,1
1565,(2)permafoodThey,1
1566,soggy,1
1567,🤢6d147,1
1568,(3)blackwonderwoman_101I,1
1569,ppl,1
1570,stop,1
1571,nonsense6d120,1
1572,(5)gofrenchy🤔🤔,1
1573,concerned,1
1574,consistency,1
1575,down,2
1576,give,2
1577,shot6d49,1
1578,likesReplydanyjoshua_There,1
1579,"someone,",1
1580,somewhere,1
1581,complaining,1
1582,job.6d28,1
1583,(1)lildee7117I,1
1584,idea6d7,1
1585,likesReplymatt_bone_No6d5,1
1586,likesReplyklara_soos@efi_pe,1
1587,😍6d4,2
1588,(1)kaykaydp@maria_cullinan,1
1589,(1)tikaboo4u@ninaelder6d2,1
1590,(2)yayyitsweiiNeed.,1
1591,@sarasweet7306d3,1
1592,(1)clarkefinneyVerified@its.just.liz,1
1593,@christinaealeman,1
1594,omg!6d3,1
1595,(1)6,2
1596,"foodinsiderVerified•Follow105,588",1
1597,viewsfoodinsiderVerifiedPeople,1
1598,waited,2
1599,Noma's,2
1600,SuperlativesAfter,1
1601,closing,1
1602,few,1
1603,months,3
1604,"restaurants,",2
1605,famed,1
1606,Copenhagen,1
1607,@nomacph,1
1608,recently,1
1609,reopened,1
1610,wine,1
1611,bar.,1
1612,"Typically,",1
1613,Noma,1
1614,dining,1
1615,"experience,",1
1616,widely,1
1617,considered,1
1618,world.,1
1619,But,2
1620,pop-up,1
1621,"bar,",1
1622,haven't,1
1623,reservation.,1
1624,"Rather,",1
1625,they,4
1626,walk-in,1
1627,basis,1
1628,beside,1
1629,picnic,1
1630,tables,1
1631,set,1
1632,outside.,1
1633,With,1
1634,choice,1
1635,either,1
1636,meat,1
1637,veggie,1
1638,"burger,",1
1639,three,2
1640,meal.#dining,1
1641,#Noma,1
1642,#copenhagen🇩🇰,1
1643,#burgers,1
1644,#FoodInsider1wkitchensysWow.,1
1645,🤣I,1
1646,anyone,1
1647,"else,",1
1648,there's,1
1649,no,4
1650,green,1
1651,Earth,1
1652,sandwich..,1
1653,I'd,1
1654,own.,1
1655,own.1w27,1
1656,likesReplydannydespa2.99,1
1657,sausage,1
1658,McMuffin,1
1659,2.79,1
1660,junior,1
1661,chicken,4
1662,dafuq,1
1663,ass,1
1664,burger1w9,1
1665,(5)victorngkn19,1
1666,dollars,1
1667,😂1w6,1
1668,likesReplycitydancergr$500,1
1669,I-,1
1670,😭1w6,1
1671,likesReplynotadhwaI,1
1672,Americans,1
1673,"lol,",1
1674,theyre,1
1675,willing,1
1676,food6dReplyView,1
1677,(4)meatsnsweetzWow,1
1678,😍🤤,1
1679,life!1w2,1
1680,likesReplysister_chefI,1
1681,"""were",1
1682,restaurant..,1
1683,We're,1
1684,experimental,1
1685,space,1
1686,cooks,1
1687,connoisseurs,1
1688,"lab""",1
1689,quickly,1
1690,turned,1
1691,into...,1
1692,"""we're",1
1693,selling,1
1694,burgers,1
1695,"now""1w1",1
1696,likeReplyvividexpressionsllc😯1wReplyg0d1ik3This,1
1697,doesn't,1
1698,look,6
1699,appetizing,1
1700,me.,1
1701,😐1wReplyforfudgessakeSo,1
1702,good😍😍😍6dReplyzaimiemh@dianncordovaa6d1,1
1703,(3)joanna.lee17@alycialyciaa,1
1704,@estherxyzhu,1
1705,🍔1wReplyView,1
1706,(4)7,1
1707,"foodinsiderVerified•Follow7,524",1
1708,likesfoodinsiderVerifiedEven,1
1709,smallest,1
1710,changes,1
1711,impact,1
1712,turns,1
1713,out.,1
1714,happens,1
1715,too,7
1716,much,9
1717,ingredient.⁣⁣⁣⁣#bananabread,1
1718,#baking,1
1719,⁣⁣⁣⁣(Credit:,1
1720,"@raskinasi,",1
1721,Eileen,1
1722,Cofre/,1
1723,Insider)1w_ianmcgarry_They,1
1724,tbh1w79,1
1725,(1)jordanjones_1You,1
1726,that’s,2
1727,fine,1
1728,me1w74,1
1729,likesReplyoqueijonistaThere’s,1
1730,such,4
1731,“too,1
1732,butter”.,1
1733,🤷🏻‍♂️1w50,1
1734,(1)vanessapaliyWhat,1
1735,ideal,1
1736,loaf,1
1737,like1w21,1
1738,(1)urbanchurnPfff,1
1739,butter.,2
1740,Butter,2
1741,life.1w10,1
1742,likesReplyamrgammasDude,1
1743,"hell,",1
1744,same1w10,1
1745,likesReplykenzpendTbh,1
1746,butter,4
1747,af1w9,1
1748,likesReplyroman_whowhatThe,1
1749,fye,1
1750,🔥1w4,1
1751,likesReplyjs7ngh94No,1
1752,butter1w2,1
1753,likesReply_isabellaandbutter,1
1754,better,3
1755,doe1w2,1
1756,likesReplysofyabiceThere's,1
1757,"mold,",1
1758,sugar,1
1759,photo??,1
1760,LOVE,1
1761,"ingredient,",1
1762,"""je",1
1763,ne,2
1764,sais,1
1765,"quoi""1w3",1
1766,likesReplymeatsnsweetzGood,1
1767,Banana,1
1768,always,2
1769,hits,1
1770,spot!😋1w2,1
1771,"foodinsiderVerified•Follow320,387",1
1772,viewsfoodinsiderVerifiedGarrett's,1
1773,Makes,1
1774,Chicago's,1
1775,Iconic,1
1776,Popcorn,3
1777,EatsPopcorn,1
1778,Illinois',1
1779,official,1
1780,snack,1
1781,"food,",1
1782,@garrettpopcorn,1
1783,been,3
1784,serving,1
1785,handcrafted,1
1786,popcorn,4
1787,state,1
1788,1949.,1
1789,secret,1
1790,family,2
1791,generations,1
1792,old-fashioned,1
1793,copper,1
1794,kettles,1
1795,kernels,1
1796,grown,1
1797,company.,1
1798,There's,1
1799,almost,1
1800,Garrett,2
1801,"shops,",1
1802,Insider's,1
1803,@medhapedia,1
1804,visited,2
1805,iconic,1
1806,Oprah's,1
1807,"""Favorite",1
1808,"Things.""",1
1809,Note:,1
1810,Insider,1
1811,March,1
1812,"2020,",1
1813,dine,1
1814,service.,1
1815,pickup,1
1816,delivery.#popcorn,1
1817,#Illinois,1
1818,#FoodInsider1wallison_da_bagelOh,1
1819,"yeah,",1
1820,Garrett’s,1
1821,amazing!1w12,1
1822,likesReplyretail.insightsNow,1
1823,#foodporn1w6,1
1824,likesReplytristenjbravoWhen,1
1825,Garrett's,1
1826,popcorn1w4,1
1827,likesReplykim_eatfoodliciousIt’s,1
1828,good!!,1
1829,😋1w2,1
1830,likesReplyjustveahSome,1
1831,😋1w1,2
1832,likeReplyraybert_padg26@foodinsider,1
1833,Medha’s,1
1834,voice,1
1835,😍😍😍1w4,1
1836,(2)dorgo@rosichef85,1
1837,@luisa.cervantes.568,1
1838,🤤1w2,1
1839,(2)tranjohnson@nilesdvu,1
1840,@smashlybink,1
1841,remember,1
1842,store,1
1843,carrying,1
1844,giant,1
1845,bags,1
1846,🤣1w3,1
1847,(1)ferikwok88@siskafransiskaa,1
1848,bisa,1
1849,d,1
1850,dd,1
1851,😂😂😂1w1,1
1852,(3)robertormz@leticializamar1w1,1
1853,(1)sam_gomite@nicolas_every1w1,1
1854,(1)safiatayyabi@tahasyed98,1
1855,fave1w1,1
1856,"foodinsiderVerified•Follow61,106",1
1857,"800,000",2
1858,meals,2
1859,(and,1
1860,counting),1
1861,frontline,3
1862,workersNonprofits,1
1863,Frontline,1
1864,Foods,1
1865,Off,1
1866,Their,1
1867,Plate,1
1868,paying,1
1869,local,1
1870,across,1
1871,workers,3
1872,fighting,1
1873,COVID-19.,1
1874,"far,",1
1875,programs,1
1876,delivered,1
1877,meals.,1
1878,We,2
1879,spoke,1
1880,@goldendinerny,1
1881,"@blackbarnrestaurant,",1
1882,costly,1
1883,difficult,1
1884,keeping,1
1885,open.#restaurants,1
1886,#COVID19,1
1887,#coronavirus,1
1888,#BusinessInsider1wcheddacheezy_leeThat's,1
1889,awesome.,1
1890,"However,",1
1891,forget,1
1892,night,1
1893,shift,1
1894,too.,1
1895,advance.,1
1896,😇1w5,1
1897,likesReplywhosthatninjaAnd,1
1898,murdering,1
1899,cops,1
1900,convicted,1
1901,!!1w3,1
1902,likesReplyblondie_lizzieeif,1
1903,starving,1
1904,children,1
1905,world..............................1w2,1
1906,likesReplyloyannessWhat,1
1907,ain't,1
1908,working,1
1909,all?,1
1910,It's,1
1911,wonderful,1
1912,necessary,1
1913,well,1
1914,"feed,",1
1915,receive,1
1916,salary,1
1917,though.,1
1918,Some,1
1919,can't,1
1920,food.1w2,1
1921,likesReplydavicki_codeWould,1
1922,yall,1
1923,consider,1
1924,mentioned,1
1925,date,1
1926,record,1
1927,these?,1
1928,context.,1
1929,"recent,",1
1930,calendar,1
1931,April,1
1932,14th1w1,1
1933,likeReplyeatandbeat34It’s,1
1934,👍1wReplyphillypretzelfactorygoodyearOk,1
1935,lonn,1
1936,noo,1
1937,ok,2
1938,l,1
1939,ok1wReplythe_gourmet_zoneThat’s,1
1940,do.1wReplyphillypretzelfactorygoodyearKlll1wReplyiambevv_🙌🏽1wReplyzareemtravels❤️❤️❤️1wReplykim_eatfoodliciousYummy,1
1941,😋1wReplyJune,2
1942,"dilsefoodieVerified•Follow73,337",1
1943,viewsdilsefoodieVerifiedSeekh,1
1944,Kebab,1
1945,BiryaniVery,1
1946,Easy,4
1947,To,6
1948,Make,3
1949,😬Try,1
1950,Recipe,3
1951,Tag,2
1952,Me,1
1953,Stories,1
1954,#dilsefoodie19hiamhabilThat's,1
1955,Biryani...,1
1956,Gravy,1
1957,Rice,1
1958,cooked,1
1959,together,1
1960,Dum...,1
1961,Biryani,2
1962,Whole,1
1963,"spices,",1
1964,"Masala,",1
1965,Layered,1
1966,rice,2
1967,Garnished,1
1968,"Ghee,",1
1969,Saffron,1
1970,coriander,1
1971,leaves,1
1972,Fried,1
1973,onions.19h8,1
1974,(7)vandana4013Yeh,1
1975,mud,1
1976,pot,1
1977,hai,5
1978,kya,4
1979,sir???19h5,1
1980,(1)nehach640Yeh,1
1981,biryani,1
1982,thi?19h3,1
1983,(3)theparthchaudharyAtleast,1
1984,basmati,1
1985,kar,1
1986,lete🙏🏿🙏🏾19h3,1
1987,(3)curvecurlssssSir,1
1988,aap,1
1989,seekh,1
1990,kha,2
1991,se,6
1992,lete,1
1993,ho?19h2,1
1994,(3)yummylicious_core0021Yummylicious19h1,1
1995,likeReplymandy_das02Made,1
1996,Paneer,4
1997,Lababdar,3
1998,…it,1
1999,fantastic!,1
2000,Will,1
2001,too.19h1,1
2002,likeReplykolkatadelitesHoly,1
2003,moly,1
2004,🤤😋19h1,1
2005,likeReplyap_food_cartWow,1
2006,😍19h1,1
2007,likeReplythe_foodeatsWow,1
2008,😍🤭19h1,1
2009,likeReplystreet_tummies😍😍😍😍ek,1
2010,number,1
2011,sir19h1,1
2012,likeReplythe_bhukkad_siblings_Amazing👍19h1,1
2013,likeReply19,1
2014,"dilsefoodieVerified•Follow80,639",1
2015,viewsdilsefoodieVerifiedBest,1
2016,One,2
2017,Ramesh,2
2018,Nagar,2
2019,Tandoori,1
2020,MomosAccording,1
2021,tandoori,2
2022,momos,5
2023,life,1
2024,veg,2
2025,💕.,1
2026,Location,1
2027,Shah,1
2028,Ji,1
2029,Di,1
2030,"Hatti,",1
2031,Nagar#dilsefoodie1dworld_wide_food_blogger😍😍damn,1
2032,tempting,2
2033,🤤🤤1d3,1
2034,likesReplyanshul_1803Yummmyyy😋😋😋1d1,1
2035,likeReplybasry.rabiyaKonse,1
2036,ka,2
2037,ramesh,1
2038,nagpr1d1,1
2039,(1)munchymumbaikarCravinggggg,1
2040,🤤🤤😍♥️1d1,1
2041,likeReplyvikasdeep1616Taste😋😋1d2,1
2042,likesReplythecaadesignerYes,1
2043,stay,1
2044,😍,2
2045,veggi,1
2046,paneer,1
2047,likeReplyfoodwalkwithakeeeeshaYes,1
2048,true,1
2049,😍1dReplynikunjagarwal__Yarrr,1
2050,Kya,2
2051,dekhliya,1
2052,😭🤤🤤🤤1dReplyravenousbybirthSeriously,1
2053,someone,2
2054,🤤1dReplyfoodwalkwithakeeeeshaI,1
2055,"though,",1
2056,😂1dReplyallwyn_13Bhai,1
2057,yaar,1
2058,tum,1
2059,ye,4
2060,sab,2
2061,lockdown,2
2062,ke,2
2063,mat,1
2064,bataoo,1
2065,plzz😅😅🔥💕1dReplyfoodvoyagerbadhanTandoori,1
2066,😋😋1dReply1,1
2067,dilsefoodieVerified•FollowDilsefoodie,1
2068,"HQ33,992",1
2069,viewsdilsefoodieVerifiedI,1
2070,happy,2
2071,excited,1
2072,announce,1
2073,nominated,1
2074,SocialMax,1
2075,Awards,1
2076,2020,2
2077,@nowmax_info,1
2078,Support,1
2079,likes,1
2080,wishes.#dilsefoodie,1
2081,#SocialMaxAwards2020,1
2082,#NowMax,1
2083,#worldsocialmediaday,1
2084,#firstonlinesocialmediaawards,1
2085,#stayhome,1
2086,#staysafe4d__imtushar__💕💕💕💕💕4d3,1
2087,likesReply_badboy_0018oor,1
2088,paaji,1
2089,wadiya!!!!4d2,1
2090,likesReplytarikajunejaWoww...,1
2091,news,1
2092,luck,1
2093,❤️❤️4d1,1
2094,likeReply__imtushar__Trophy,1
2095,ghr,2
2096,h,5
2097,🤩🤩4d1,1
2098,likeReplynazzzzuk👍🏻👍🏻👍🏻❤️❤️❤️4d1,1
2099,likeReplyjyotigupta9294Congratulations,1
2100,dil,1
2101,foodie.,1
2102,wsh,1
2103,winner4d1,1
2104,likeReplytathagatdiwanYour,1
2105,good👌👌👌4d1,1
2106,likeReply__imtushar__💕💕💕4d1,1
2107,likeReplynazzzzukcongratulations,1
2108,❤️❤️❤️4d1,1
2109,likeReplykrinnadivakarCongratulations👏👏👏👏4d1,1
2110,likeReplybhavjeeeetAll,1
2111,best!4dReplysuman.smile210🙏🙏❤️❤️4dReply4,1
2112,"dilsefoodieVerified•Follow105,222",1
2113,viewsdilsefoodieVerifiedSanjay,1
2114,Ke,1
2115,Special,1
2116,Chole,4
2117,Kulche,2
2118,Model,2
2119,Town,2
2120,3Amazing,1
2121,Spicy,1
2122,Tawa,1
2123,Fry,1
2124,Kulche#dilsefoodie4dpavneetsachdevaBaraf,1
2125,gir,1
2126,rahi,1
2127,manali,1
2128,mei😂😂😂😂,1
2129,wow4d9,1
2130,(1)bharatkakhaanaDear,1
2131,"Friends,",1
2132,started,1
2133,.,4
2134,trained,1
2135,learning,1
2136,Kindly,1
2137,🙏4d4,1
2138,likesReplysolanki.tarun007Chole,1
2139,nhi,1
2140,hain,1
2141,Bhai,2
2142,",Mattar",1
2143,wali.4d2,1
2144,likesReplypravinmahatoYour,1
2145,presentation,1
2146,good👌4d2,1
2147,likesReplyksatayender7777777Ye,1
2148,current,2
2149,pehle,2
2150,ki4d1,1
2151,likeReplyeasyplatterChatakdaaar,1
2152,😅4d1,1
2153,likeReplykhandgurrMazedar,1
2154,ji4d1,1
2155,likeReplydeccanbtnindiankitchenMy,1
2156,zindabad!4d1,1
2157,likeReplydesiduniyafoodtalkEkdum,1
2158,badhiya,2
2159,😍4d1,1
2160,likeReplysunny.kashyap.85Bina,1
2161,mask,1
2162,ke.kaise,1
2163,bhai4d1,1
2164,likeReplyzeest11https://youtu.be/--ulnh1-8Uk4dReplymusewithmollyThis,1
2165,good.,1
2166,Miss,1
2167,having,2
2168,these😍❤️4dReply4,1
2169,"dilsefoodieVerified•Follow135,562",1
2170,viewsdilsefoodieVerifiedPaneer,2
2171,RecipeVery,2
2172,Step,2
2173,By,2
2174,Recipe.My,1
2175,Dear,1
2176,Professional,1
2177,"Chefs,",1
2178,Food,1
2179,Critics,1
2180,Negative,1
2181,People,2
2182,Am,2
2183,Not,1
2184,Profession,1
2185,Home,1
2186,Cooking,1
2187,Passion,1
2188,Even,1
2189,Force,1
2190,Recipes.#dilsefoodie5dajitalivesWhy,1
2191,masala?,1
2192,Any,1
2193,substitute,1
2194,that?,1
2195,Kitchen,1
2196,king,1
2197,maybe...5d5,1
2198,(4)spoon_tasteLajawab🔥😍5d4,1
2199,likesReplyfahad_aartekButter,1
2200,",cream",1
2201,",cheese",1
2202,bhai,3
2203,lekin,1
2204,pyaz,1
2205,Mae,1
2206,fry,1
2207,tha,1
2208,..motey,1
2209,patle,1
2210,khyal,1
2211,rakha5d2,1
2212,(1)gourmetmusafirYour,1
2213,😁👏🏻5d2,1
2214,likesReplysanju_reddy___It's,1
2215,brother,1
2216,Cook,1
2217,saying,1
2218,hotelier,1
2219,😍❤5d2,1
2220,likesReplynom_nom_stories_Oye,1
2221,hoye😍😍😍😍😍5d1,1
2222,likeReplymealswithmemoriesOh,1
2223,truly,1
2224,lababdar😋,1
2225,completely,1
2226,awe,1
2227,"recipes,",1
2228,quick,2
2229,utterly,1
2230,❤️5d1,1
2231,likeReply_shalini_agsYummy🙈5d1,1
2232,likeReplykejriwalshubham20👌👌👌👌kajab5d2,1
2233,likesReplymt050510❤️5d1,1
2234,likeReplyvinyaingale🔥5d1,1
2235,likeReplynikeneeraj6162Bhaiya,1
2236,wali,2
2237,recapie,1
2238,hai5d1,1
2239,likeReply5,1
2240,"dilsefoodieVerified•Follow89,113",1
2241,viewsdilsefoodieVerifiedGoan,1
2242,Fish,3
2243,Curry,3
2244,😁Tag,1
2245,That,1
2246,Friend,1
2247,Who,1
2248,Would,1
2249,Try,1
2250,Recipe.Thanks,1
2251,@arjun_budhiraja,1
2252,Fresh,1
2253,Raw,1
2254,Direct,1
2255,From,1
2256,Gazipur,1
2257,Mandi.,1
2258,#dilsefoodie,4
2259,#FoodFood,2
2260,#Fishcurry6dabhishek_vaibhav_simonYaar,1
2261,bro,2
2262,ap,2
2263,jo,1
2264,ghar,3
2265,mae,1
2266,dishes,1
2267,bnate,1
2268,ho,7
2269,woh,1
2270,toh,5
2271,🔥ekdm,1
2272,10on,1
2273,bhar,1
2274,jb,1
2275,dalte,1
2276,hygiene,1
2277,bi,1
2278,promote,1
2279,kia,1
2280,kro,1
2281,unko,1
2282,bta,2
2283,krke,1
2284,jinki,1
2285,hmtk,1
